id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation
23,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Факультет информационных технологий и математики НВГУ,Бакалавриат,Нижневартовский государственный университет,Нижневартовск,,25.0,99000.0,,,5 лет,Очно-заочная,Русский,государственный
24,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт электронных и информационных систем НовГУ,Бакалавриат,Новгородский государственный университет имени Ярослава Мудрого,Великий Но..,25.0,,,172.0,,4 года,Очная,Русский,государственный
25,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, естественных и компьютерных наук ВоГУ",Бакалавриат,Вологодский государственный университет,Вологда,25.0,5.0,154030.0,166.0,119.0,4 года,Очная,Русский,государственный
26,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт компьютерных и инженерных наук АмГУ,Бакалавриат,Амурский государственный университет,Благовещенск,17.0,10.0,185100.0,152.0,119.0,4 года,Очная,Русский,государственный
27,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, физики и информационных технологий ЧГУ им. А.А. Кадырова",Бакалавриат,Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова,Грозный,71.0,15.0,113525.0,124.0,,4 года,Очная,Русский,государственный
28,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт математики, физики и информационных технологий ЧГУ им. А.А. Кадырова",Бакалавриат,Чеченский государственный университет имени Ахмата Абдулхамидовича Кадырова,Грозный,20.0,25.0,39748.0,120.0,,5 лет,Очно-заочная,Русский,государственный
29,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Инженерный институт СКГА,Бакалавриат,Северо-Кавказская государственная академия,Черкесск,50.0,10.0,112000.0,142.0,,4 года,Очная,Русский,государственный
30,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Институт интеллектуальных кибернетических систем ИАТЭ НИЯУ МИФИ,Бакалавриат,Обнинский институт атомной энергетики (филиал НИЯУ МИФИ),Обнинск,20.0,5.0,168000.0,206.0,,4 года,Очная,Русский,государственный
31,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Естественно-математический факультет СИ (филиала) БашГУ,Бакалавриат,Сибайский институт филиал Уфимского университета науки и технологий,Сибай,17.0,20.0,148300.0,,,4 года,Очная,Русский,государственный
32,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,Естественно-математический факультет СИ (филиала) БашГУ,Бакалавриат,Сибайский институт филиал Уфимского университета науки и технологий,Сибай,25.0,20.0,45000.0,134.0,118.0,5 лет,Очно-заочная,Русский,государственный
33,01.03.02 | Прикладная математика и информатика,Прикладная математика и информатика,"Институт информатики, математики и робототехники УУНиТ",Бакалавриат,Уфимский университет науки и технологий,Уфа,110.0,20.0,148300.0,198.0,,4 года,Очная,Русский,государственный
34,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Факультет вычислительной математики и кибернетики МГУ,Бакалавриат,Московский государственный университет имени М.В. Ломоносова,Москва,19.0,3.0,512810.0,437.0,267.0,4 года,Очная,Русский,государственный
35,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт вычислительной математики и информационных технологий КФУ,Бакалавриат,Казанский (Приволжский) федеральный университет,Казань,25.0,22.0,258048.0,247.0,,4 года,Очная,Русский,государственный
36,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт информационных технологий, математики и механики ННГУ им. Лобачевского",Бакалавриат,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Нов..,,5.0,240000.0,,,4 года,Очная,Русский,государственный
37,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Высшая школа электроники и компьютерных наук ЮУрГУ,Бакалавриат,Южно-Уральский государственный университет (национальный исследовательский университет),Челябинск,40.0,5.0,165800.0,218.0,118.0,4 года,Очная,Русский,государственный
38,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт математики, механики и компьютерных наук им. И.И. Воровича ЮФУ",Бакалавриат,Южный федеральный университет,Ростов-на-..,100.0,15.0,159000.0,225.0,,4 года,Очная,Русский,государственный
39,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт математики, механики и компьютерных наук им. И.И. Воровича ЮФУ",Бакалавриат,Южный федеральный университет,Ростов-на-..,,5.0,159000.0,,150.0,4 года,Очная,Русский,государственный
40,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт компьютерных наук и технологий ПГНИУ,Бакалавриат,Пермский государственный национальный исследовательский университет,Пермь,58.0,,,183.0,,4 года,Очная,Русский,государственный
41,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт математики и информационных технологий ИГУ,Бакалавриат,Иркутский государственный университет,Иркутск,25.0,25.0,192500.0,164.0,,4 года,Очная,Русский,государственный
42,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт прикладной математики и компьютерных наук ТГУ,Бакалавриат,Национальный исследовательский Томский государственный университет,Томск,59.0,15.0,177000.0,226.0,,4 года,Очная,Русский,государственный
43,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт математики и информационных технологий ОГУ,Бакалавриат,Оренбургский государственный университет,Оренбург,20.0,100.0,153000.0,181.0,119.0,4 года,Очная,Русский,государственный
44,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Высшая школа компьютерных наук и искусственного интеллекта БФУ им. И. Канта,Бакалавриат,Балтийский федеральный университет имени Иммануила Канта,Калинингра..,30.0,10.0,151500.0,210.0,147.0,4 года,Очная,Русский,государственный
45,01.03.01 | Математика,Математический анализ и его приложения,Механико-математический факультет НГУ,Бакалавриат,Новосибирский национальный исследовательский государственный университет,Новосибирс..,6.0,2.0,210000.0,222.0,,4 года,Очная,Русский,государственный
46,01.03.01 | Математика,Математический анализ и его приложения,Институт математики и фундаментальной информатики СФУ,Бакалавриат,Сибирский федеральный университет,Красноярск,20.0,2.0,222000.0,191.0,,4 года,Очная,Русский,государственный
47,01.03.01 | Математика,Математические основы компьютерных наук,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,12.0,10.0,140700.0,113.0,119.0,4 года,Очная,Русский,государственный
48,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет вычислительной математики и кибернетики МГУ,Бакалавриат,Московский государственный университет имени М.В. Ломоносова,Москва,104.0,40.0,512810.0,423.0,300.0,4 года,Очная,Русский,государственный
49,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт искусственного интеллекта РТУ МИРЭА,Бакалавриат,МИРЭА - Российский технологический университет,Москва,30.0,150.0,299000.0,273.0,,4 года,Очная,Русский,государственный
50,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт искусственного интеллекта РТУ МИРЭА,Бакалавриат,МИРЭА - Российский технологический университет,Москва,,15.0,299000.0,,160.0,4 года,Очная,Русский,государственный
51,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-механический институт СПбПУ,Бакалавриат,Санкт-Петербургский политехнический университет Петра Великого,Санкт-Пете..,26.0,8.0,302000.0,271.0,,4 года,Очная,Русский,государственный
52,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,20.0,10.0,140700.0,172.0,,4 года,Очная,Русский,государственный
53,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт математики и компьютерных технологий ДВФУ,Бакалавриат,Дальневосточный федеральный университет,Владивосто..,50.0,5.0,248000.0,192.0,,4 года,Очная,Русский,государственный
54,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-математический факультет БГУ,Бакалавриат,Брянский государственный университет имени академика И.Г. Петровского,Брянск,17.0,15.0,144540.0,210.0,,4 года,Очная,Русский,государственный
55,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-математический факультет КЧГУ имени У.Д. Алиева,Бакалавриат,Карачаево-Черкесский государственный университет имени У.Д. Алиева,Карачаевск,36.0,10.0,134000.0,139.0,119.0,4 года,Очная,Русский,государственный
56,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт естественных наук и техносферной безопасности СахГУ,Бакалавриат,Сахалинский государственный университет,Южно-Сахал..,25.0,25.0,307350.0,161.0,,4 года,Очная,Русский,государственный
57,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Естественно-научный институт ДВГУПС,Бакалавриат,Дальневосточный государственный университет путей сообщения,Хабаровск,25.0,5.0,204600.0,177.0,,4 года,Очная,Русский,государственный
58,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет компьютерных технологий и энергетики ДГТУ в г. Махачкала,Бакалавриат,Дагестанский государственный технический университет,Махачкала,12.0,2.0,106410.0,184.0,,4 года,Очная,Русский,государственный
59,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет СФТИ НИЯУ МИФИ,Бакалавриат,Снежинский физико-технический институт (филиал НИЯУ МИФИ),Снежинск,,5.0,154340.0,,119.0,4 года,Очная,Русский,государственный
60,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Факультет Фундаментальные науки(ФН),Бакалавриат,Московский государственный технический университет им. Н.Э. Баумана,Москва,36.0,52.0,399000.0,271.0,135.0,4 года,Очная,Русский,государственный
61,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Механико-математический факультет НГУ,Бакалавриат,Новосибирский национальный исследовательский государственный университет,Новосибирс..,8.0,3.0,210000.0,222.0,,4 года,Очная,Русский,государственный
62,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Институт естественных и точных наук ЮУрГУ,Бакалавриат,Южно-Уральский государственный университет (национальный исследовательский университет),Челябинск,20.0,3.0,150600.0,205.0,119.0,4 года,Очная,Русский,государственный
63,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Физико-математический институт ПГНИУ,Бакалавриат,Пермский государственный национальный исследовательский университет,Пермь,25.0,5.0,153000.0,158.0,119.0,4 года,Очная,Русский,государственный
